Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Hyperfan,Pre-Seed,Seed,"$500,000","Nov 12, 2021",Hyperfan,Hyperfan is a platform that helps influencers find their most important fans,"Content, Information Technology, Software",—,"Los Angeles, California, United States, North America",hyperfan.com/,,"$500,000",Seed,1,—,—
Pre Seed Round - ABBY by GOGOTECH,Pre-Seed,Seed,"$120,000","Nov 8, 2021",ABBY by GOGOTECH,"MAKER OF ABBY, A NEW, SAFE, ADVANCED, AFFORDABLE PERSONAL ELECTRIC VEHICLE",—,—,"Wilmington, Delaware, United States, North America",gogotech.co,,"$120,000",Seed,3,Techstars,1
Pre Seed Round - Mount,Pre-Seed,Seed,"$1,400,000","Nov 7, 2021",Mount,A platform that allows travelers to rent anything at anytime to anyone.,"Peer to Peer, Software","South Asian Founded, South Asian Led, Women Founded, Women Led","New York, New York, United States, North America",rentmount.com,,"$1,400,000",Seed,7,General Catalyst,4
Seed Round - Tourial,Seed,Seed,"$3,850,000","Oct 28, 2021",Tourial,"Tourial creates a virtual product marketing, product training, and support platform to deliver product marketing content.","Brand Marketing, Information Technology, Marketing",—,"Atlanta, Georgia, United States, North America",tourial.com,,"$7,250,000",Seed,2,—,—
Pre Seed Round - WearWorks,Pre-Seed,Seed,"$716,500","Oct 21, 2021",WearWorks,WearWorks is a New York based haptic platform company.,"Consumer Electronics, Information Technology, SaaS, Software",—,"Brooklyn, New York, United States, North America",www.wear.works/,,"$1,101,500",Seed,8,—,—
Pre Seed Round - Firezone,Pre-Seed,Seed,"$125,000","Nov 10, 2021",Firezone,Firezone is an open-source security platform to manage secure remote access for teams.,"Cloud Security, Cyber Security, Information Technology, Network Security, Open Source, Privacy, Security, Software",—,"Mountain View, California, United States, North America",www.firezone.dev,,"$125,000",Seed,1,—,1
Pre Seed Round - Kith + Kin,Pre-Seed,Seed,"$100,000","Oct 22, 2021",Kith + Kin,Kith + Kin is a purpose-built solution enabling trusted friends and family to organize and share information about their health.,"Apps, Fitness, Health Care, Wellness",—,"Collegeville, Pennsylvania, United States, North America",www.kithandkin.app,,"$1,367,500",Seed,3,EXPERT DOJO,1
Pre Seed Round - KSOC Labs,Pre-Seed,Seed,"$650,000","Nov 1, 2021",KSOC Labs,KSOC is an event-driven SaaS platform that remediates Kubernetes security risks and enforces least-privileged access control.,"Event Management, Information Technology, IT Infrastructure, SaaS","Women Founded, Women Led","San Francisco, California, United States, North America",www.ksoc.com,,"$6,650,000",Seed,2,—,5
Seed Round - MeetMonk,Seed,Seed,"$500,000","Oct 27, 2021",MeetMonk,MeetMonk offers most flexible Learning Management System and Virtual Urgent Care platform.,"Education, Health Care, Information Technology",South Asian Founded,"Denver, Colorado, United States, North America",www.meetmonk.com,,"$750,000",Seed,3,—,—
"Seed Round - Cuddlynest, Inc",Seed,Seed,"$3,500,000","Oct 14, 2021","Cuddlynest, Inc","World's premier booking platform offering all accommodations for all types of traveler, anywhere in the world, for the best price.","Adventure Travel, Business Travel, Travel Accommodations",—,"Orlando, Florida, United States, North America",www.cuddlynest.com,,"$14,000,000",Seed,3,—,—
Seed Round - Nob Hill Therapeutics,Seed,Seed,"$30,000","Nov 5, 2021",Nob Hill Therapeutics,Nob Hill Therapeutics is established to commercialize the first dry-powder nebulizer to treat severe respiratory diseases.,"Biotechnology, Life Science, Pharmaceutical",Women Led,"Albuquerque, New Mexico, United States, North America",nobhilltherapeutics.com,,"$167,500",Seed,3,—,1
Pre Seed Round - Hurry,Pre-Seed,Seed,"$2,500,000","Nov 1, 2021",Hurry,Hurry is a delivery-as-a-service for DTC brands and brick-and-mortar retailers.,"Delivery, Delivery Service, E-Commerce, Logistics, Retail Technology",—,"Beaverton, Oregon, United States, North America",hurry.team,,"$2,500,000",Seed,1,Valor Siren Ventures,10
Seed Round - SupplyHive,Seed,Seed,"$2,000,000","Oct 14, 2021",SupplyHive,SupplyHive™ Supplier Performance Software,"Artificial Intelligence, Information Services, Software, Supply Chain Management","Hispanic / Latine Founded, South Asian Led","Chicago, Illinois, United States, North America",supplyhive.com,,"$5,860,000",Seed,5,—,3
Pre Seed Round - Sign-Speak,Pre-Seed,Seed,"$120,000","Nov 8, 2021",Sign-Speak,"Sign-Speak develops automatic, real-time captioning and ASL to English interpreting services via an online platform and mobile application.","Artificial Intelligence, Information Technology, Machine Learning, SaaS","Hispanic / Latine Founded, Hispanic / Latine Led","Rochester, New York, United States, North America",www.sign-speak.com,,"$350,000",Seed,6,Techstars,1
Seed Round - Pulsora,Seed,Seed,"$8,500,000","Oct 20, 2021",Pulsora,"Pulsora is an enterprise environmental, social, and governance software as a service platform.","Information Technology, SaaS, Software",—,"San Francisco, California, United States, North America",pulsora.com/,,"$28,500,000",Early Stage Venture,4,—,8
Pre Seed Round - Proxi,Pre-Seed,Seed,"$120,000","Nov 7, 2021",Proxi,Proxi's no-code mapping software makes mapping and crowdsourcing geographic recommendations accessible to everyone.,"Apps, Mapping Services, Navigation, Software","Women Founded, Women Led","Seattle, Washington, United States, North America",www.proxi.co//,,"$1,320,000",Seed,2,Techstars,1
Pre Seed Round - D4 Solutions,Pre-Seed,Seed,"$50,000","Oct 14, 2021",D4 Solutions,IT Solution Provider & Multi-Cloud Management PaaS,"Apps, Cloud Computing, Information Technology, PaaS, Software, Web Apps",—,"Cookville, Texas, United States, North America",d4.solutions,,"$50,000",Seed,2,D4 Digital Trust,1
Seed Round - PlanIT Geo,Seed,Seed,"$260,000","Oct 19, 2021",PlanIT Geo,"PlanIT Geo has been delivering cutting-edge technology and planning services for urban forestry, park management, and arboriculture.","Consulting, Environmental Consulting, Information Technology, Software",—,"Arvada, Colorado, United States, North America",www.planitgeo.com/,,"$260,000",M&A,1,—,—
Seed Round - Easy Button Capital,Seed,Seed,"$2,697,010","Oct 18, 2021",Easy Button Capital,Residential Property Investment and Management Technology Company,"Artificial Intelligence, Blockchain, Information Technology, Internet of Things, Property Management, Real Estate Investment",—,"Scottsdale, Arizona, United States, North America",www.easybuttonhomesales.com/,,"$2,697,010",Seed,1,—,—
Seed Round - Flox,Seed,Seed,"$1,200,000","Oct 30, 2021",Flox,Flox is an app to help friend groups meet each other.,"Apps, Internet",—,"New York, New York, United States, North America",www.downtoflox.com/,,"$1,200,000",Seed,1,Honeycomb Asset Management,3
Seed Round - Schmooze Dating,Seed,Seed,"$3,200,000","Oct 22, 2021",Schmooze Dating,Schmooze Dating is a meme-based dating app that allows matches to exchange memes.,—,"Women Founded, Women Led","Palo Alto, California, United States, North America",www.schmoozedating.com/,,"$3,470,000",Seed,3,Inventus Capital Partners,4
Seed Round - BlueRecruit,Seed,Seed,"$400,000","Nov 2, 2021",BlueRecruit,BlueRecruit creates a professional profile for skilled trade workers connecting them to employers.,"Recruiting, Software, Staffing Agency",—,"Raleigh, North Carolina, United States, North America",bluerecruit.us,,"$775,000",Seed,5,—,—
Seed Round - Dresma,Seed,Seed,"$3,000,000","Oct 25, 2021",Dresma,"Dresma is a SaaS, Mobile App, and AI-powered product photography company.","Artificial Intelligence, E-Commerce, Machine Learning, Photography",—,"Cupertino, California, United States, North America",www.domyshoot.com/,,"$3,000,000",Seed,1,SVQUAD,3
Pre Seed Round - OndeCare,Pre-Seed,Seed,"$120,000","Nov 8, 2021",OndeCare,OndeCare is the premium in-home care marketplace for all ages & schedules; and the employee benefit SaaS solution with full ROI visibility.,"Child Care, E-Commerce, Elder Care, Health Care, SaaS, Service Industry","Women Founded, Women Led","Cleveland, Ohio, United States, North America",ondecare.com/,,"$1,674,735",Seed,5,Techstars,1
Seed Round - Fresh Street,Seed,Seed,"$4,000,000","Oct 20, 2021",Fresh Street,"Online marketplace that creates supply chain transparency & better connects distributors to retailers. Acquired by WIS, Int'l in Feb '23","B2B, Consumer Goods, E-Commerce, Marketplace",—,"Chicago, Illinois, United States, North America",freshstreet.com/,,"$4,000,000",Seed,1,—,—
Seed Round - GenEp,Seed,Seed,"$1,450,000","Oct 26, 2021",GenEp,GenEp is a pre-clinical stage biotechnology company based on intellectual property assets.,"Biotechnology, Health Care, Medical",—,"Charlottesville, Virginia, United States, North America",www.genepbio.com,,"$6,405,006",—,2,"3B Future Health Fund, Angelini Lumira Biosciences Fund, UVA Licensing & Ventures Group",6
Seed Round - MOLTEN,Seed,Seed,"$7,000,000","Oct 21, 2021",MOLTEN,Radically simplifying digital media operations globally,"B2B, Cloud Computing, Cloud Infrastructure, Cloud Storage, Digital Media, Intellectual Property, Media and Entertainment, SaaS","South Asian Founded, Southeast Asian Led","Cambridge, Massachusetts, United States, North America",moltencloud.com,,"$7,000,000",Seed,4,Abstract Ventures,10
Seed Round - BNBHunterGame,Seed,Seed,"$1,500,000","Nov 1, 2021",BNBHunterGame,BNBHunter is a play-to-earn and NFT game featuring a variety of game modes and patterns for earning BNB prizes.,"Gaming, Video Games",—,"New York, New York, United States, North America",bnbhunter.game/,,"$1,500,000",Seed,1,—,4
Seed Round - Infinite Composites,Seed,Seed,"$503,884","Oct 27, 2021",Infinite Composites,"ICT designs, develops, and manufactures advanced gas storage systems for aerospace, industrial gas and transportation applications.","Aerospace, Energy, Government, Industrial Manufacturing, Manufacturing, Oil and Gas, Satellite Communication, Space Travel, Transportation","Hispanic / Latine Founded, Hispanic / Latine Led","Tulsa, Oklahoma, United States, North America",www.infinitecomposites.com/,,"$3,939,058",Seed,17,Spaced Ventures,1
Seed Round - ePLEX,Seed,Seed,"$84,240","Oct 22, 2021",ePLEX,ePLEX is the only purpose-built event stage for amateur eSports in the Southeast.,"Gaming, Online Games, PC Games",—,"Birmingham, Alabama, United States, North America",theeplex.com/,,"$84,240",Seed,1,—,—
Seed Round - Hancock Regional Hospital,Seed,Seed,"$442,515","Nov 4, 2021",Hancock Regional Hospital,"Hancock Health is an Indiana-based, full-service healthcare network serving Hancock County and the surrounding areas.","Health Care, Home Health Care, Hospital",—,"Greenfield, Indiana, United States, North America",www.hancockregionalhospital.org/,,"$790,515",Seed,3,—,—
Seed Round - Sublime Finance,Seed,Seed,"$2,500,000","Oct 19, 2021",Sublime Finance,Sublime Finance is a decentralized lending platform.,"Blockchain, Financial Services, FinTech",—,"San Francisco, California, United States, North America",sublime.finance/,,"$2,500,000",Seed,1,"Electric Capital, Galaxy Digital",6
Seed Round - Uiflow,Seed,Seed,"$5,200,000","Nov 11, 2021",Uiflow,Uiflow is a no-code platform that allows its users to build production applications using their enterprise data.,"B2B, Developer Platform, Developer Tools, SaaS, Software",—,"San Francisco, California, United States, North America",www.uiflow.com/,,"$20,200,000",Early Stage Venture,4,Addition,3
Seed Round - Viroment,Seed,Seed,"$211,000","Oct 20, 2021",Viroment,Viroment builds high-tech agricultural facilities to solve the challenges of waste sludge disposal.,"Environmental Engineering, Renewable Energy, Water",—,"Minneapolis, Minnesota, United States, North America",viroment.com/,,"$452,450",—,2,—,—
Pre Seed Round - Dentulu,Pre-Seed,Seed,"$350,000","Nov 1, 2021",Dentulu,Dentulu is a provider of teledentistry and mobile dentistry solutions to existing non-profits around the world.,"Dental, Health Care, mHealth",—,"Los Angeles, California, United States, North America",www.dentulu.com,,"$2,700,250",Seed,12,—,2
Pre Seed Round - Wicked Saints Studios,Pre-Seed,Seed,"$1,100,000","Nov 3, 2021",Wicked Saints Studios,Wicked Saints Studios develops a game studio platform using behavioral technology to create interactive media.,"Gaming, Media and Entertainment, Mobile Apps",—,"Medford, Oregon, United States, North America",www.wickedsaints.studio/,,"$1,100,000",Seed,1,Precursor Ventures,5
Seed Round - Emerge Tools,Seed,Seed,"$1,700,000","Nov 4, 2021",Emerge Tools,Emerge is a suite of developer tools designed to supercharge mobile apps and the teams that build them.,"Android, iOS, Mobile, Software",—,"Santa Monica, California, United States, North America",www.emergetools.com/,,"$1,700,000",Seed,2,"Haystack, Matrix Partners",4
"Pre Seed Round - Concerto Commerce, Inc.",Pre-Seed,Seed,"$190,000","Nov 5, 2021","Concerto Commerce, Inc.","Concerto Commerce can get an online store up with 100s of thousands of products in days, not months, and keep it in sync with its source",—,—,"Southlake, Texas, United States, North America",www.concertocommerce.com/,,"$190,000",Seed,1,—,3
Pre Seed Round - Greenwork,Pre-Seed,Seed,"$2,250,000","Nov 1, 2021",Greenwork,Greenwork is enabling the construction work that's tackling the climate crisis,"Employment, Renewable Energy, Training",—,"San Francisco, California, United States, North America",joingreenwork.com,,"$2,375,000",Seed,3,—,25
Seed Round - Cradlewise Inc.,Seed,Seed,"$7,000,000","Nov 9, 2021",Cradlewise Inc.,Cradlewise offers a smart cradle with responsive rocking and integrated contactless baby monitoring.,"Artificial Intelligence, Baby, Child Care, Consumer Electronics, Consumer Goods, Hardware, Health Care, Internet of Things, Parenting","Women Founded, Women Led","San Francisco, California, United States, North America",cradlewise.com,,"$7,000,000",Seed,3,Footwork,9
Seed Round - Supergrain,Seed,Seed,"$6,800,000","Nov 9, 2021",Supergrain,"A modern, warehouse-native customer engagement platform","Analytics, Machine Learning, SaaS",—,"San Francisco, California, United States, North America",supergrain.com/,,"$6,800,000",Seed,1,Benchmark,3
Pre Seed Round - The Comparison Company,Pre-Seed,Seed,"$50,000","Oct 21, 2021",The Comparison Company,"The Comparison Company is a comparing and purchasing company for business, cell, home, insurance, and loans.",Financial Services,—,"Dallas, Texas, United States, North America",thecomparison.company/,,"$50,000",Seed,1,EXPERT DOJO,1
Pre Seed Round - Geojam,Pre-Seed,Seed,"$250,000","Nov 4, 2021",Geojam,"Geojam is a social platform powered by AI that makes it easy for everyone to create, share, and earn in the creator economy.","Artificial Intelligence, Blockchain, Consumer Applications, Content Creators, Cryptocurrency, Media and Entertainment, Mobile Apps, Social, Social Media, Social Network","Hispanic / Latine Founded, Women Founded, Women Led","Los Angeles, California, United States, North America",www.geojam.com/,,"$2,450,000",—,5,—,1
Seed Round - DwellWell,Seed,Seed,"$1,500,000","Oct 21, 2021",DwellWell,DwellWell creates delighted home buyers and successful real estate agents automatically.,"Home Services, Real Estate, Software",—,"Culver City, California, United States, North America",www.dwellwell.com/,,"$6,000,000",Seed,2,Barclays Corporate Banking,2
Seed Round - MomentRanks,Seed,Seed,"$4,200,000","Oct 28, 2021",MomentRanks,MomentRanks provides data analytics and tooling to consumers across the crypto ecosystem.,"Analytics, Blockchain, Cryptocurrency, Software",—,"Atlanta, Georgia, United States, North America",momentranks.com/,,"$5,900,000",Seed,2,Archetype,4
Seed Round - Miror,Seed,Seed,"$50,000","Nov 4, 2021",Miror,Miror is an online platform that allows users to explore and connect to people.,"Blogging Platforms, Online Forums, Social Media",—,"Pittsburgh, Pennsylvania, United States, North America",www.mymiror.com,,"$50,000",Seed,1,—,2
Seed Round - Gradient Works,Seed,Seed,"$2,000,000","Oct 20, 2021",Gradient Works,B2B SaaS building book management software for B2B sales teams,"SaaS, Software",—,"Austin, Texas, United States, North America",www.gradient.works/,,"$2,000,000",Seed,1,‎Integr8d Capital,3
Seed Round - Nvolve,Seed,Seed,"$614,489","Nov 5, 2021",Nvolve,Nvolve provides remote physiologic monitoring for chronic disease patients.,"Health Care, Health Diagnostics, Wearables",—,"Winston Salem, North Carolina, United States, North America",www.nvolve.com,,"$1,314,258",M&A,4,—,—
Pre Seed Round - Osmoses,Pre-Seed,Seed,"$3,000,000","Nov 4, 2021",Osmoses,Osmoses engages in decarbonizing gas separations to eliminate one gigaton of carbon emissions per year.,"GreenTech, Industrial",—,"Cambridge, Massachusetts, United States, North America",osmoses.com/,,"$3,000,000",Seed,1,The Engine,6
Pre Seed Round - Urban Machine,Pre-Seed,Seed,"$1,575,000","Nov 12, 2021",Urban Machine,Urban Machine is a construction company that manufactures reclaims and co-creates locally sourced premium lumber products.,"Building Material, Robotics",—,"Oakland, California, United States, North America",www.urbanmachine.build,,"$7,185,000",Seed,3,"Catapult Ventures, Union Ventures",4
Seed Round - OnChain Studios,Seed,Seed,"$7,500,000","Oct 25, 2021",OnChain Studios,OnChain Studios is a software company.,"Blockchain, Gaming, Software",—,"Miami, Florida, United States, North America",www.onchainstudios.com,,"$34,000,000",Early Stage Venture,5,Andreessen Horowitz,7
Seed Round - Blacktag,Seed,Seed,"$1,725,000","Oct 22, 2021",Blacktag,Blacktag is a global platform for Black creators and Black culture.,"Media and Entertainment, Software","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",blacktag.com,,"$5,475,000",Seed,2,—,1
"Pre Seed Round - Cheeze, Inc",Pre-Seed,Seed,"$1,800,000","Nov 10, 2021","Cheeze, Inc",Mint your photos on the blockchain.,"Apps, Blockchain, Cryptocurrency, Photography",—,"New York, New York, United States, North America",cheeze.com,,"$2,650,000",Seed,3,Olive Tree Capital,8
Seed Round - Pronto Housing,Seed,Seed,"$2,500,000","Nov 2, 2021",Pronto Housing,"Pronto provides software to make affordable housing compliance efficient, inclusive, and intuitive.","Enterprise Software, Property Management, Real Estate, Software","Women Founded, Women Led","New York, New York, United States, North America",www.prontohousing.com,,"$4,500,000",Seed,2,Wilshire Lane Partners,6
Seed Round - Insiteflow,Seed,Seed,"$2,300,000","Oct 18, 2021",Insiteflow,Insiteflow is a provider of an EHR integrated platform that helps manage clinical decision solutions.,"Electronic Health Record (EHR), Health Care, Hospital",—,"Austin, Texas, United States, North America",insiteflow.com,,"$2,300,000",Seed,2,Silverton Partners,4
Seed Round - Cleo+Coco,Seed,Seed,"$1,000,000","Nov 11, 2021",Cleo+Coco,Cleo+Coco is a personal care product company,"Consumer Goods, Health Care, Personal Health","Women Founded, Women Led","Larkspur, California, United States, North America",cleoandcoco.com/pages,,"$1,000,000",Seed,1,—,—
Seed Round - Cobot Nation,Seed,Seed,"$3,441,021","Oct 14, 2021",Cobot Nation,Cobot Nation is a robotics company that provides a full-service solution designed for the enterprise level of business.,"Enterprise Software, Information Technology, Robotics",—,"Las Vegas, Nevada, United States, North America",cobotnation.com/,,"$4,056,025",Seed,2,—,—
Pre Seed Round - IndyKite,Pre-Seed,Seed,"$2,500,000","Oct 21, 2021",IndyKite,IndyKite is a cloud identity platform built to secure and manage human & non-person (IoT) identities and their data.,"Identity Management, Information Technology, Network Security",—,"San Francisco, California, United States, North America",www.indykite.com/,,"$10,500,000",Seed,2,"Alliance, Speedinvest",2
Seed Round - Impossible Mining,Seed,Seed,"$2,000,000","Nov 3, 2021",Impossible Mining,Impossible Mining is building underwater robotics vehicles which mine battery metals responsibly from the seabed.,"Mining, Robotics",—,"Pasadena, California, United States, North America",ImpossibleMining.com,,"$12,100,000",Seed,2,—,—
Pre Seed Round - Caesar Media Group,Pre-Seed,Seed,"$1,000,000","Oct 28, 2021",Caesar Media Group,"Caesar provides marketing solutions for companies as well as lead generation, website development, SEO, sales, and social media building.","Brand Marketing, Digital Marketing",—,"Wilmington, North Carolina, United States, North America",caesarmediagroup.com/,,"$1,000,000",Seed,1,Netcapital,1
Pre Seed Round - Vert.run,Pre-Seed,Seed,"$125,000","Nov 1, 2021",Vert.run,"The leader App to build an ecosystem focused on the trail running vertical by offering smart-personalized coaching, community and more...","Education, Internet, Outdoors, Personal Health, Sports, Wellness","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded","Newark, Delaware, United States, North America",vert.run,,"$379,000",Seed,3,—,2
Seed Round - Spruce,Seed,Seed,"$7,500,000","Nov 2, 2021",Spruce,Spruce is building a future where users control their identity and data across all digital interactions.,"Analytics, Blockchain, Cryptocurrency, Enterprise Software, Identity Management",—,"New York, New York, United States, North America",www.spruceid.com,,"$41,520,000",Early Stage Venture,4,"Electric Capital, Ethereal Ventures",19
Seed Round - Riff,Seed,Seed,"$2,500,000","Nov 10, 2021",Riff,"Riff offers cold brewed coffee, food science, and craft beverage.","CleanTech, Coffee, Consumer Goods, Food and Beverage, Organic, Sustainability",—,"Bend, Oregon, United States, North America",letsriff.com,,"$5,420,000",Seed,5,—,2
Pre Seed Round - PLOT,Pre-Seed,Seed,"$1,000,000","Nov 9, 2021",PLOT,PLOT is a Jobsite Coordination tool combining Delivery Coordination and Lead Time management.,"Construction, SaaS, Software",—,"Wichita, Kansas, United States, North America",www.getplot.com,,"$3,000,000",Seed,2,—,1
Pre Seed Round - Two To Tango,Pre-Seed,Seed,"$120,000","Nov 8, 2021",Two To Tango,Meaningful business connections at events,"B2B, Events, Professional Networking, SaaS, Software",—,"Boston, Massachusetts, United States, North America",www.twototango.co,,"$920,000",Seed,2,Techstars,1
Seed Round - HopFlyt,Seed,Seed,"$9,000","Oct 29, 2021",HopFlyt,HopFlyt develops aviation technologies that save people time in urban commutes.,"3D Printing, Aerospace, Innovation Management",Women Founded,"Lusby, Maryland, United States, North America",hopflyt.com/,,"$1,811,700",—,5,—,—
Pre Seed Round - Cashmere,Pre-Seed,Seed,"$650,000","Nov 1, 2021",Cashmere,Crypto wallet for web3 startups,Cryptocurrency,—,"San Francisco, California, United States, North America",cashmere.finance/,,"$3,650,000",Seed,2,"Notation Capital, Wonder Ventures",2
Seed Round - Haxor,Seed,Seed,"$1,799,999","Nov 2, 2021",Haxor,Haxor develops software testing tools designed to accelerate the testing of high-quality software.,"Developer Platform, Developer Tools, Information Technology, Software",—,"Austin, Texas, United States, North America",haxor.sh/dxaas/,,"$1,799,999",Seed,1,—,—
Pre Seed Round - Novobeing,Pre-Seed,Seed,"$275,000","Nov 9, 2021",Novobeing,Novobeing ( formerly Rocket VR Health ) is a digital health company that provides virtual reality stress reduction and well-being solutions.,"Health Care, Software, Therapeutics, Virtual Reality",—,"Wakefield, Massachusetts, United States, North America",www.novobeing.com/,,"$1,000,000",Seed,5,—,—
Seed Round - Mint Songs,Seed,Seed,"$3,000,000","Oct 19, 2021",Mint Songs,Mint Songs is the largest music NFT marketplace helping music artists build web3 communities,"Blockchain, Cryptocurrency, Information Technology, Music",—,"Washington, District of Columbia, United States, North America",mintsongs.com/,,"$4,250,000",M&A,2,Castle Island Ventures,5
Seed Round - Electronic Lab Logs,Seed,Seed,"$326,633","Oct 27, 2021",Electronic Lab Logs,Electronic Lab Logs is a software company that helps hospital labs ditch the paper logs.,"Enterprise Software, Hospital, Medical, Software",—,"Wilmington, North Carolina, United States, North America",www.lablogs.co,,"$376,633",Seed,3,—,—
Pre Seed Round - Foody,Pre-Seed,Seed,"$1,500,000","Nov 12, 2021",Foody,Foody is a web platform that enables users to either buy recipes or upload their own.,"Food and Beverage, Internet of Things, Web Apps",—,"San Francisco, California, United States, North America",joinfoody.com/,,"$1,500,000",Seed,1,Serena Ventures,6
Seed Round - 3Bar Biologics,Seed,Seed,"$250,000","Nov 9, 2021",3Bar Biologics,3Bar Biologics delivers a sustainable microbe inoculant system that helps farmers increase crop yield.,"Agriculture, Biotechnology, Farming",—,"Columbus, Ohio, United States, North America",www.3barbiologics.com/,,"$2,400,000",Seed,3,S2G Ventures,1
Pre Seed Round - Humanize,Pre-Seed,Seed,"€1,200,000","Oct 23, 2021",Humanize,Humanize is a digital platform that supports personal development.,"Health Care, Wellness",—,"Santa Cruz, California, United States, North America",www.humanize.com,,"€1,200,000",Seed,1,—,1
Seed Round - OneScreen.AI,Seed,Seed,"$3,020,000","Nov 8, 2021",OneScreen.AI,"OneScreen.AI features buy and sell target out-of-home advertising with data, ease, and accuracy.","Advertising, Brand Marketing, Digital Marketing, Internet of Things, Outdoor Advertising",South Asian Founded,"Boston, Massachusetts, United States, North America",www.onescreen.ai,,"$4,670,000",Seed,3,Asymmetric Capital Partners,3
Pre Seed Round - Welby Health,Pre-Seed,Seed,"$900,000","Nov 1, 2021",Welby Health,"Virtual care management solution for physicians. Improved outcomes, increased revenue, and greater success from value based contracts.","Health Care, Nursing and Residential Care, Software, Wellness",—,"Carlsbad, California, United States, North America",www.welby.care,,"$2,400,000",Seed,2,New Stack Ventures,1
Seed Round - SMBX,Seed,Seed,"$11,500,000","Oct 20, 2021",SMBX,SMBX is a funding portal and public marketplace for issuing and buying U.S. small business bonds.,"Banking, Financial Services, FinTech, Marketplace, Retail, Small and Medium Businesses","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded","San Francisco, California, United States, North America",www.thesmbx.com,,"$15,225,000",Seed,7,Group 11,8
Seed Round - Mycelial,Seed,Seed,"$3,800,000","Nov 4, 2021",Mycelial,Mycelial unifies Edge and Cloud SQLite instances peer-to-peer and without any data middleware.,"Cloud Data Services, Information Technology, Software",—,"New York, New York, United States, North America",www.mycelial.co,,"$3,800,000",Seed,1,Crane Venture Partners,1
Seed Round - VCR Group,Seed,Seed,"$725,000","Oct 26, 2021",VCR Group,"VCR Group creates thoughtful restaurant and hospitality concepts, culinary experiences, and food products in physical and digital spaces.","Hospitality, Project Management, Restaurants",—,"New York, New York, United States, North America",vcrgroup.com,,"$14,725,000",—,2,—,—
Pre Seed Round - Solvetech,Pre-Seed,Seed,"£173,424","Nov 10, 2021",Solvetech,Solvetech provides gauging solution.,"Industrial, Manufacturing, Plastics and Rubber Manufacturing, Service Industry",—,"Wilmington, Delaware, United States, North America",www.gauging.com,,"£173,424",Seed,1,—,1
Seed Round - Gamma,Seed,Seed,"$7,000,000","Oct 28, 2021",Gamma,Inventing a new medium to replace the slide deck.,Software,—,"San Francisco, California, United States, North America",gamma.app/,,"$7,000,000",—,2,Accel,7
Seed Round - Breezi.io,Seed,Seed,"$1,000,000","Oct 28, 2021",Breezi.io,Breezi.io builds wireless devices that enable homeowners to detect problems with their HVAC systems before they become severe.,Consumer Electronics,—,"Durham, North Carolina, United States, North America",breezi.io,,"$1,000,000",Seed,3,—,1
Seed Round - Zeit Medical,Seed,Seed,"$2,000,000","Oct 29, 2021",Zeit Medical,Zeit Medical provides peace of mind to neurology injury patients through powered AI and cutting edge Bioelectronics.,"Biotechnology, Health Care, Health Diagnostics, Medical Device",—,"Redwood City, California, United States, North America",www.zeitmedical.com,,"$2,125,000",Seed,2,"DigiLife, SeedToB Capital",10
Pre Seed Round - Camdog Inc,Pre-Seed,Seed,"$200,000","Oct 31, 2021",Camdog Inc,Camdog - cloud-based on-demand video surveillance and analysis service,"Artificial Intelligence, Information Technology, Internet, Machine Learning, Software",—,"New York, New York, United States, North America",camdog.cloud,,"$470,000",Seed,4,Starta VC,2
Seed Round - Kovina Therapeutics,Seed,Seed,"$2,000,000","Oct 20, 2021",Kovina Therapeutics,Kovina Therapeutics operates as a pre-clinical biotechnology company.,"Biotechnology, Therapeutics",—,"Indianapolis, Indiana, United States, North America",www.kovina.com/,,"$2,575,000",Seed,4,Elevate Ventures,3
Seed Round - Zebec,Seed,Seed,"$6,000,000","Nov 10, 2021",Zebec,Zebec is a continuous settlement protocol on Solana. Zebec is enabling the composable transfer of value starting with Stream Payroll.,"Financial Services, Information Technology, Payments",—,"San Francisco, California, United States, North America",zebec.io/,,"$42,500,000",—,3,"Breyer Capital, Republic capital, Shima Capital",12
Pre Seed Round - Adaptively Education,Pre-Seed,Seed,"$20,000","Nov 7, 2021",Adaptively Education,Adaptively Education is an e-learning company.,E-Learning,—,"Seattle, Washington, United States, North America",adaptivelyeducation.com/,,"$20,000",Seed,1,Techstars,1
Pre Seed Round - Spice AI,Pre-Seed,Seed,"$1,055,000","Oct 14, 2021",Spice AI,Spice AI removes the complexity of building massive data infrastructure to help developers create the next generation of AI-driven apps.,"Artificial Intelligence, Blockchain, Cloud Data Services, Developer Platform, Machine Learning, Software",—,"Seattle, Washington, United States, North America",spice.xyz,,"$14,555,000",Seed,2,—,13
