Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Mojito,Seed,Seed,"$20,000,000","Oct 21, 2021",Mojito,The all-in-one web3 platform powering brands & creators,Cryptocurrency,—,"Boston, Massachusetts, United States, North America",mojito.xyz/,,"$20,000,000",Seed,1,"Future\Perfect Ventures, Sotheby’s",8
"Pre Seed Round - Hodge, Inc.",Pre-Seed,Seed,"$235,000","Nov 1, 2021","Hodge, Inc.","Hodge is an end-to-end waste solution designed for the food system, from table to farm.",—,—,"Brooklyn, New York, United States, North America",hodge.earth/,,"$235,000",Seed,1,—,—
Seed Round - Metaphor,Seed,Seed,"$2,000,000","Oct 15, 2021",Metaphor,Metaphor is a language-model-based search engine that simplifies how users carry out web searches.,"Internet, Search Engine, Software",—,"New York, New York, United States, North America",metaphor.so,,"$2,000,000",Seed,2,—,2
Pre Seed Round - Wingback,Pre-Seed,Seed,"$2,300,000","Nov 2, 2021",Wingback,Wingback provides tools and APIs for SaaS pricing and packaging.,"Enterprise Software, Infrastructure, SaaS, Software",—,"San Francisco, California, United States, North America",wingback.com,,"$2,300,000",Seed,1,42CAP,12
Seed Round - BetDEX,Seed,Seed,"$21,000,000","Nov 11, 2021",BetDEX,BetDEX is the decentralized sports betting protocol.,"Blockchain, Cryptocurrency",—,"New York, New York, United States, North America",www.betdex.com/,,"$21,000,000",Seed,1,"FTX, Paradigm",10
Pre Seed Round - Topanga.io,Pre-Seed,Seed,"$1,290,000","Nov 9, 2021",Topanga.io,"Topanga.io develops a reuse platform for sustainably-minded brands, restaurants, and consumers.","Green Consumer Goods, GreenTech, Packaging Services, Recycling, Sustainability",—,"Los Angeles, California, United States, North America",www.topanga.io/,,"$4,890,000",Seed,2,Wonder Ventures,7
Seed Round - Capstan Therapeutics,Seed,Seed,"$63,000,000","Nov 1, 2021",Capstan Therapeutics,Capstan Therapeutics is advancing cell engineering to develop therapeutics for a broad range of diseases.,"Biotechnology, Health Care, Therapeutics",—,"San Diego, California, United States, North America",www.capstantx.com,,"$165,000,000",Early Stage Venture,2,"Novartis Venture Fund, OrbiMed",4
Seed Round - Mantium,Seed,Seed,"$12,750,000","Nov 9, 2021",Mantium,"Mantium: A secure & versatile data platform that helps developers easily access, transform & enrich data with LLMs, while ensuring privacy.","Cloud Data Services, Data Integration",—,"New Albany, Ohio, United States, North America",www.mantiumai.com,,"$12,750,000",Seed,1,Drive Capital,2
Pre Seed Round - QuikLiq,Pre-Seed,Seed,"$267,500","Nov 1, 2021",QuikLiq,"QuikLiq is a tech-forward digital marketplace that provides access to a selection of wine, beer, and spirits.","Craft Beer, E-Commerce, Marketplace, Wine And Spirits",—,"Miami Beach, Florida, United States, North America",www.quikliq.com/,,"$270,000",Seed,2,Domonique Fines,1
Seed Round - Rivals Media,Seed,Seed,"$1,500,000","Nov 4, 2021",Rivals Media,Rivals Media is a social impact gaming platform,"Charity, Funding Platform, Media and Entertainment, Sports",—,"Manhattan Beach, California, United States, North America",www.rivalsmedia.com/,,"$1,725,000",Seed,3,—,—
