Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Rosebud AI,Seed,Seed,"$2,200,000","Mar 16, 2020",Rosebud AI,"Rosebud AI Gamemaker. Create Games, Share and Play Instantly Craft Worlds with Words. Go from text description to code to game.","Artificial Intelligence, Developer Tools, Online Games, Video Games","Women Founded, Women Led","San Francisco, California, United States, North America",www.rosebud.ai,,"$8,800,000",Seed,4,Khosla Ventures,8
Pre Seed Round - POP,Pre-Seed,Seed,"$25,000","Apr 10, 2020",POP,POP provides digital advertising services for brands.,Social Media,—,"Seattle, Washington, United States, North America",www.wearepop.com/,,"$60,000",Seed,3,—,1
Pre Seed Round - Celadyne Technologies,Pre-Seed,Seed,"$150,000","Apr 15, 2020",Celadyne Technologies,Celadyne Technologies develops membranes for use in electrolyzers and fuel cells that require minimal heat and water management.,"Chemical, Energy Storage, Industrial",—,"Chicago, Illinois, United States, North America",www.celadynetech.com/,,"$375,000",Seed,2,—,1
Seed Round - Slope.io,Seed,Seed,"$3,000,000","Mar 21, 2020",Slope.io,Slope.io is a provider of a healthcare software designed to offer an easy way to prevent inventory outages.,"Biotechnology, Clinical Trials, Enterprise Software, Events, Logistics, Software",—,"San Francisco, California, United States, North America",www.slope.io/,,"$23,030,000",Early Stage Venture,4,645 Ventures,2
Pre Seed Round - Hosta a.i.,Pre-Seed,Seed,"$120,000","May 6, 2020",Hosta a.i.,"Hosta a.i. leverages Artificial Intelligence to detect 1,2, and 3-dimensional measurements.",Artificial Intelligence,—,"Cambridge, Massachusetts, United States, North America",www.hosta.ai/,,"$11,769,999",Early Stage Venture,3,Techstars,1
Seed Round - Legionfarm,Seed,Seed,"$4,020,000","Apr 9, 2020",Legionfarm,Legionfarm connects gamers with professional players for in-game training and companionship.,"Gamification, Gaming, Internet",—,"San Francisco, California, United States, North America",legionfarm.com,,"$16,270,000",Private Equity,7,—,11
Seed Round - Candid Health,Seed,Seed,"$2,300,000","Mar 16, 2020",Candid Health,Candid Health is the revenue cycle automation platform for modern healthcare providers.,"Health Care, Medical, Software",—,"San Francisco, California, United States, North America",www.joincandidhealth.com/,,"$18,300,000",Early Stage Venture,2,8VC,2
Seed Round - Daily.co,Seed,Seed,"$4,600,000","May 4, 2020",Daily.co,Daily.co offers video chat as an API.,"Audio, Communication Hardware, Developer APIs, Developer Platform, Information Services, Information Technology, Software, Video, Video Chat",Women Founded,"Mountain View, California, United States, North America",daily.co,,"$62,220,000",Seed,6,—,10
Seed Round - Stratus5,Seed,Seed,"$2,000,000","May 3, 2020",Stratus5,Stratus5 offer open source and commercial ISVs and resellers a full-service solution to quickly launch their SaaS business in the cloud,"Cloud Management, Enterprise Software, SaaS",—,"Lucerne Valley, California, United States, North America",www.stratus5.com,,"$5,000,000",Seed,4,—,1
Pre Seed Round - Dashworks,Pre-Seed,Seed,"$500,000","Mar 16, 2020",Dashworks,Dashworks is a knowledge assistant that helps employees find the information they need while also increasing productivity.,"Database, Information Technology, Productivity Tools, Software",—,"San Francisco, California, United States, North America",www.dashworks.ai,,"$9,500,000",Seed,3,—,2
Pre Seed Round - FitVity,Pre-Seed,Seed,"$540,000","Apr 24, 2020",FitVity,"FitVity sells everything from the best value high-quality whey protein concentrate, to the latest US pre-workout supplements.",Retail,—,"West Hollywood, California, United States, North America",fitvity.us,,"$9,440,000",Early Stage Venture,3,—,—
Pre Seed Round - Lookerz,Pre-Seed,Seed,"$730,000","May 1, 2020",Lookerz,"ML-powered Outfits, Tags, and Similar items. SaaS service for fashion eCommerce that boosts revenue by 12% with personalized recommendations","E-Commerce, Fashion, SaaS",—,"Los Angeles, California, United States, North America",linktr.ee/lookerz.me,,"$885,000",Seed,2,—,—
Pre Seed Round - Delicious AI,Pre-Seed,Seed,"$1,200,000","Apr 3, 2020",Delicious AI,"Artificial Intelligence, Computer Vision and 3D Data delivering double-digit sales grows for CPG.","3D Technology, Artificial Intelligence, Business Intelligence, Computer Vision, Consumer Goods, Grocery, Machine Learning",—,"Lehi, Utah, United States, North America",www.deliciousai.com,,"$2,200,000",Seed,2,—,—
Seed Round - Steamchain Corp,Seed,Seed,"$100,000","Mar 27, 2020",Steamchain Corp,Steamchain Corp  is a fin-tech software company,"FinTech, Information Technology, Payments, Software",—,"Beaverton, Oregon, United States, North America",steamchaincorp.com,,"$960,000",Seed,4,—,2
